prefecture,population,color
北海道,5224.614,orange
青森,1237.984,green
岩手,1210.534,green
宮城,2301.996,yellow
秋田,959.502,blue
山形,1068.027,green
福島,1833.152,yellow
茨城,2867.009,yellow
栃木,1933.146,yellow
群馬,1939.11,yellow
埼玉,7344.765,orange
千葉,6284.48,orange
東京,14047.594,red
神奈川,9237.337,red
新潟,2201.272,yellow
富山,1034.814,green
石川,1132.526,green
福井,766.863,blue
山梨,809.974,blue
長野,2048.011,yellow
岐阜,1978.742,yellow
静岡,3633.202,orange
愛知,7542.415,orange
三重,1770.254,yellow
滋賀,1413.61,green
京都,2578.087,yellow
大阪,8837.685,red
兵庫,5465.002,orange
奈良,1324.473,green
和歌山,922.584,blue
鳥取,553.407,blue
島根,671.126,blue
岡山,1888.432,yellow
広島,2799.702,yellow
山口,1342.059,green
徳島,719.559,blue
香川,950.244,blue
愛媛,1334.841,green
高知,691.527,blue
福岡,5135.214,orange
佐賀,811.442,blue
長崎,1312.317,green
熊本,1738.301,yellow
大分,1123.852,green
宮崎,1069.576,green
鹿児島,1588.256,yellow
沖縄,1467.48,green
