hotelName,hotelInformationUrl,hotelMinCharge,latitude,longitude,reviewCount,reviewAverage,station
アパホテル＜京都駅北＞（全室禁煙）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=162951,2430,125945.99,488733.04,172,4.21,kyoto
京都タワーホテルアネックス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=4841,1666,125946.22,488733.89,1922,4.23,kyoto
ホテルリブマックスＢＵＤＧＥＴ京都駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129606,1750,125948.71,488732.54,502,3.61,kyoto
ＴＵＮＥ　ＳＴＡＹ　ＫＹＯＴＯ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177977,1320,125949.13,488732.73,142,4.45,kyoto
リッチモンドホテルプレミア京都駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171941,3450,125942.67,488726.29,877,4.65,kyoto
京湯元　ハトヤ瑞鳳閣,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=4922,5610,125941.29,488728.31,516,4.4,kyoto
ホテル・アンドルームス京都七条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181769,2370,125949.01,488735.91,74,4.54,kyoto
メルキュール京都ステーション,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179109,2550,125946.39,488722.86,394,4.45,kyoto
ホテルエクセレンス京都駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147665,3500,125942.6,488723.95,457,4.07,kyoto
なごみ宿　都和,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=13758,13090,125952.41,488727.04,175,4.25,kyoto
アパホテル＜京都駅前＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=2118,2430,125938.8,488728.38,3493,4.11,kyoto
京都新阪急ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1658,2700,125942.62,488738.35,3074,4.36,kyoto
日本館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16244,1500,125947.71,488739.52,149,4.55,kyoto
京都駅　元祖駅前　松本旅館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136089,3850,125943.15,488739.5,132,4.67,kyoto
田中極楽堂ゲストハウス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=164705,2350,125948.9,488739.83,14,5,kyoto
ホテル法華クラブ京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=122,2000,125942.94,488741.77,3805,4.43,kyoto
ＭＯＮｄａｙ　Ａｐａｒｔ　Ｐｒｅｍｉｕｍ　京都七条堀川,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181989,3102,125948.77,488718.38,17,4.71,kyoto
リーガロイヤルホテル京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=108,4050,125939.41,488720.09,6148,4.26,kyoto
京都タワーホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1551,2600,125943.55,488743.65,2337,4.08,kyoto
旅館あづまや　＜京都府＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151223,1980,125955.33,488722.25,262,4.2,kyoto
和泉屋旅館＜京都府＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40402,4400,125955.77,488722.02,49,4.67,kyoto
ダイワロイネットホテル京都駅前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153230,3050,125948.03,488744.77,442,4.51,kyoto
都シティ　近鉄京都駅（旧：ホテル近鉄京都駅）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=130693,4640,125933.15,488735.67,3769,4.47,kyoto
ホテルエクセレンス・京都駅西,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172269,1575,125934.06,488721.9,353,3.62,kyoto
エムズホテル　京都駅ＴＡＲＵＹＡ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178511,1875,125946.46,488713.52,12,4.13,kyoto
藤家旅館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39212,3200,125947.16,488747.05,219,5,kyoto
ホテルグランヴィア京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1487,5650,125941.73,488746.54,3551,4.49,kyoto
ホテル　ステーション京都・西館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=20725,3800,125950.34,488746.55,1628,3.7,kyoto
ｈｏｔｅｌ　ｔｏｕ　ｎｉｓｈｉｎｏｔｏｉｎ　ｋｙｏｔｏ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181326,2112,125960.05,488729.76,173,4.39,kyoto
都ホテル　京都八条（旧：新・都ホテル）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1160,4100,125930.68,488731.3,6828,4.42,kyoto
アパヴィラホテル＜京都駅前＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=29357,2500,125945,488749.64,3890,4.11,kyoto
京のおおぞら　褒華,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167460,9000,125962.06,488730.08,15,5,kyoto
京の宿　北海館　お花坊,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19407,10000,125954.44,488747.96,152,5,kyoto
２０ＰＩＥＣＥＳ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181239,3232,125954.42,488748.17,17,4.5,kyoto
ホテル京阪　京都駅南,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177047,2000,125929.82,488738,297,4.46,kyoto
ＨＯＴＥＬ　ＫＵＵ　ＫＹＯＴＯ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=164508,3250,125955.84,488747.79,199,4.75,kyoto
三交イン京都八条口〈雅〉～四季乃湯～,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176797,2850,125929.9,488742.2,495,4.48,kyoto
京都東本願寺前　山田屋旅館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39629,7150,125958.89,488747.63,96,5,kyoto
松葉家旅館,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=79367,5600,125960.01,488749.17,16,4.33,kyoto
Ｒａｃｉｎｅ　ｈｏｍｅ　京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153492,3400,125961.5,488749.57,13,5,kyoto
京都ゲストハウス御旅庵（おたびあん）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151415,3000,125930.55,488710.62,59,4.5,kyoto
羽う座　京都五条烏丸,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172696,2250,125972.09,488743.54,13,4.2,gojo
スーパーホテル京都・烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=80468,2500,125968.52,488744.14,1239,4.32,gojo
ベッセルホテルカンパーナ京都五条（全室禁煙）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147994,57,125973.63,488750.7,1342,4.52,gojo
ＴＨＥ　ＰＯＣＫＥＴ　ＨＯＴＥＬ（ザ・ポケットホテル）京都烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179674,1148,125975.78,488747.94,79,4.28,gojo
シタディーン京都　烏丸五条,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104758,1936,125975.8,488748.49,553,4.22,gojo
ウォーターマークホテル京都（ＨＩＳホテルグループ）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179875,2600,125973.94,488739.03,131,4.39,gojo
烏丸六条ホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165178,2940,125966.81,488740,52,4.57,gojo
ホテル　カンラ　京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=108734,7200,125964.87,488744.23,464,4.7,gojo
オーベルジュ麻布,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172672,11750,125977.03,488738.79,12,5,gojo
ｓｅｑｕｅｎｃｅ　ＫＹＯＴＯ　ＧＯＪＯ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179606,2500,125981.01,488744.31,206,4.45,gojo
Ｒａｃｉｎｅ　ｈｏｍｅ　京都,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153492,3400,125961.5,488749.57,13,5,gojo
