hotelName,hotelInformationUrl,hotelMinCharge,telephoneNo,reviewAverage
東急ステイ沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177761,2475,098-833-1090,4.61
ノボテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=167519,3500,098-887-1111,4.39
ハイアットリージェンシー那覇沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=148000,6666,098-866-8888,4.55
ダイワロイネットホテル那覇おもろまち,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134763,2325,098-862-4555,4.45
沖縄ハーバービューホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176757,2750,098-853-2111,4.47
ホテル　ロコア　ナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=71990,4250,098-868-6578,4.43
沖縄逸の彩（ひので）　温泉リゾートホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181495,4400,098-863-8877,4.59
ロワジールホテル那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16443,3000,098-868-2222,4.13
ＪＲ九州ホテル　ブラッサム那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=160939,3850,098-861-8700,4.62
ＨＯＴＥＬ　ＳＡＮＳＵＩ　ＮＡＨＡ　波の上温泉（２０２２年２月　新規オープン）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178447,2562,098-860-7001,3.89
ダイワロイネットホテル沖縄県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=104526,2050,098-860-1855,4.11
ホテルコレクティブ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172986,6000,098-860-8366,4.5
サンプラザホテル＜沖縄県＞,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18195,1250,098-866-0920,4.22
ホテルパームロイヤルNAHA国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38282,3017,098-865-5551,4.59
ダイワロイネットホテル那覇国際通り,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=128440,2470,098-868-9055,4.4
ホテルグレイスリー那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149369,2700,098-867-6111,4.49
ヒューイットリゾート那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181785,4410,098-943-8325,4.23
リーガロイヤルグラン沖縄,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136808,4000,098-867-3331,4.58
メルキュールホテル沖縄那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=137367,2600,098-855-7111,4.44
アルモントホテル那覇おもろまち(旧ホテル法華クラブ那覇新都心),https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40768,2200,098-860-6611,4.46
リッチモンドホテル那覇久茂地,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19934,2570,098-869-0077,4.29
ホテルＪＡＬシティ那覇（国際通り）,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=50220,2000,098-866-2580,4.41
ロワジールスパタワー那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=78094,6120,098-868-2222,4.4
那覇東急ＲＥＩホテル,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=76923,3375,098-869-0109,4.65
ホテル　ストレータ那覇,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178292,3600,098-860-7400,4.53
アルモントホテル那覇県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=149360,3442,098-866-3811,4.33
ホテルアクアチッタナハ,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=163087,3100,098-866-5000,4.29
ネストホテル那覇西,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183769,2000,098-988-9696,4.6
コンフォートイン那覇泊港,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182682,2600,098-866-4711,4.47
コンフォートホテル那覇県庁前,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=73870,2400,098-941-7311,4.24
コンドミニアムリゾート那覇　リビングイン旭橋駅前プレミア＆アネックス,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153504,1300,098-943-1339,4.46
